Zeit	Kanal A
(s)	(mV)

-9.99930635	-9.47342500
-9.99930615	-9.47342500
-9.99930595	-14.22552000
-9.99930575	-9.47342500
-9.99930555	-9.47342500
-9.99930535	-9.47342500
-9.99930515	-14.22552000
-9.99930495	-18.96223000
-9.99930475	-4.73671200
-9.99930455	-18.96223000
-9.99930435	-14.22552000
-9.99930415	-14.22552000
-9.99930395	-18.96223000
-9.99930375	-14.22552000
-9.99930355	-14.22552000
-9.99930335	-14.22552000
-9.99930315	-18.96223000
-9.99930295	-9.47342500
-9.99930275	-14.22552000
-9.99930255	-23.69894000
-9.99930235	-18.96223000
-9.99930215	-14.22552000
-9.99930195	-28.45103000
-9.99930175	-14.22552000
-9.99930155	-23.69894000
-9.99930135	-28.45103000
-9.99930115	-14.22552000
-9.99930095	-14.22552000
-9.99930075	-23.69894000
-9.99930055	-18.96223000
-9.99930035	-18.96223000
-9.99930015	-23.69894000
-9.99929995	-18.96223000
-9.99929975	-14.22552000
-9.99929955	-23.69894000
-9.99929935	-23.69894000
-9.99929915	-23.69894000
-9.99929895	-18.96223000
-9.99929875	-23.69894000
-9.99929855	-18.96223000
-9.99929835	-18.96223000
-9.99929815	-28.45103000
-9.99929795	-28.45103000
-9.99929775	-23.69894000
-9.99929755	-23.69894000
-9.99929735	-18.96223000
-9.99929715	-28.45103000
-9.99929695	-28.45103000
-9.99929675	-18.96223000
-9.99929655	-23.69894000
-9.99929635	-18.96223000
-9.99929615	-18.96223000
-9.99929595	-23.69894000
-9.99929575	-28.45103000
-9.99929555	-23.69894000
-9.99929535	-23.69894000
-9.99929515	-28.45103000
-9.99929495	-18.96223000
-9.99929475	-28.45103000
-9.99929455	-28.45103000
-9.99929435	-23.69894000
-9.99929415	-28.45103000
-9.99929395	-28.45103000
-9.99929375	-23.69894000
-9.99929355	-23.69894000
-9.99929335	-23.69894000
-9.99929315	-28.45103000
-9.99929295	-18.96223000
-9.99929275	-18.96223000
-9.99929255	-23.69894000
-9.99929235	-23.69894000
-9.99929215	-37.92445000
-9.99929195	-33.18774000
-9.99929175	-14.22552000
-9.99929155	-18.96223000
-9.99929135	-28.45103000
-9.99929115	-33.18774000
-9.99929095	-23.69894000
-9.99929075	-23.69894000
-9.99929055	-18.96223000
-9.99929035	-18.96223000
-9.99929015	-28.45103000
-9.99928995	-28.45103000
-9.99928975	-28.45103000
-9.99928955	-37.92445000
-9.99928935	-18.96223000
-9.99928915	-23.69894000
-9.99928895	-23.69894000
-9.99928875	-23.69894000
-9.99928855	-23.69894000
-9.99928835	-14.22552000
-9.99928815	-18.96223000
-9.99928795	-18.96223000
-9.99928775	-18.96223000
-9.99928755	-23.69894000
-9.99928735	-18.96223000
-9.99928715	-9.47342500
-9.99928695	-4.73671200
-9.99928675	-4.73671200
-9.99928655	-4.73671200
-9.99928635	-9.47342500
-9.99928615	-9.47342500
-9.99928595	4.73671200
-9.99928575	0.00000000
-9.99928555	-9.47342500
-9.99928535	4.73671200
-9.99928515	4.73671200
-9.99928495	0.00000000
-9.99928475	0.00000000
-9.99928455	0.00000000
-9.99928435	4.73671200
-9.99928415	4.73671200
-9.99928395	0.00000000
-9.99928375	0.00000000
-9.99928355	0.00000000
-9.99928335	0.00000000
-9.99928315	0.00000000
-9.99928295	0.00000000
-9.99928275	0.00000000
-9.99928255	-14.22552000
-9.99928235	-4.73671200
-9.99928215	0.00000000
-9.99928195	0.00000000
-9.99928175	0.00000000
-9.99928155	-4.73671200
-9.99928135	0.00000000
-9.99928115	9.47342500
-9.99928095	-4.73671200
-9.99928075	4.73671200
-9.99928055	0.00000000
-9.99928035	4.73671200
-9.99928015	-4.73671200
-9.99927995	0.00000000
-9.99927975	-4.73671200
-9.99927955	0.00000000
-9.99927935	-4.73671200
-9.99927915	0.00000000
-9.99927895	-4.73671200
-9.99927875	0.00000000
-9.99927855	9.47342500
-9.99927835	-4.73671200
-9.99927815	-4.73671200
-9.99927795	0.00000000
-9.99927775	-4.73671200
-9.99927755	-9.47342500
-9.99927735	0.00000000
-9.99927715	0.00000000
-9.99927695	-4.73671200
-9.99927675	0.00000000
-9.99927655	-9.47342500
-9.99927635	-4.73671200
-9.99927615	4.73671200
-9.99927595	-9.47342500
-9.99927575	-18.96223000
-9.99927555	-4.73671200
-9.99927535	-4.73671200
-9.99927515	-14.22552000
-9.99927495	0.00000000
-9.99927475	0.00000000
-9.99927455	-4.73671200
-9.99927435	-14.22552000
-9.99927415	-4.73671200
-9.99927395	4.73671200
-9.99927375	4.73671200
-9.99927355	-9.47342500
-9.99927335	-9.47342500
-9.99927315	-14.22552000
-9.99927295	-9.47342500
-9.99927275	-4.73671200
-9.99927255	-9.47342500
-9.99927235	-4.73671200
-9.99927215	-9.47342500
-9.99927195	-9.47342500
-9.99927175	-9.47342500
-9.99927155	0.00000000
-9.99927135	-4.73671200
-9.99927115	-4.73671200
-9.99927095	0.00000000
-9.99927075	0.00000000
-9.99927055	4.73671200
-9.99927035	0.00000000
